order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI000001,ORD000001,PROD0049,1,482.17,0.2,385.74
OI000002,ORD000001,PROD0029,1,2073.63,0.0,2073.63
OI000003,ORD000002,PROD0015,2,1250.54,0.0,2501.08
OI000004,ORD000003,PROD0007,1,2398.35,0.15,2038.6
OI000005,ORD000003,PROD0043,2,2914.27,0.1,5245.69
OI000006,ORD000003,PROD0029,3,2073.63,0.05,5909.85
OI000007,ORD000003,PROD0049,1,482.17,0.0,482.17
OI000008,ORD000003,PROD0011,1,1364.75,0.15,1160.04
OI000009,ORD000004,PROD0004,1,1971.0,0.1,1773.9
OI000010,ORD000004,PROD0050,1,750.27,0.2,600.22
OI000011,ORD000005,PROD0040,1,5311.32,0.05,5045.75
OI000012,ORD000006,PROD0050,1,750.27,0.05,712.76
OI000013,ORD000007,PROD0045,1,1335.85,0.15,1135.47
OI000014,ORD000007,PROD0049,1,482.17,0.1,433.95
OI000015,ORD000008,PROD0049,1,482.17,0.15,409.84
OI000016,ORD000008,PROD0028,1,9171.98,0.0,9171.98
OI000017,ORD000008,PROD0007,1,2398.35,0.0,2398.35
OI000018,ORD000009,PROD0023,1,2142.79,0.15,1821.37
OI000019,ORD000009,PROD0029,1,2073.63,0.05,1969.95
OI000020,ORD000010,PROD0042,1,3177.33,0.0,3177.33
OI000021,ORD000010,PROD0040,1,5311.32,0.2,4249.06
OI000022,ORD000011,PROD0003,1,3142.61,0.1,2828.35
OI000023,ORD000011,PROD0020,1,4914.12,0.05,4668.41
OI000024,ORD000012,PROD0049,3,482.17,0.05,1374.18
OI000025,ORD000012,PROD0040,1,5311.32,0.1,4780.19
OI000026,ORD000013,PROD0049,3,482.17,0.05,1374.18
OI000027,ORD000013,PROD0013,1,2374.52,0.2,1899.62
OI000028,ORD000014,PROD0031,1,862.99,0.0,862.99
OI000029,ORD000015,PROD0034,2,623.0,0.0,1246.0
OI000030,ORD000015,PROD0016,1,2390.13,0.0,2390.13
OI000031,ORD000015,PROD0040,1,5311.32,0.0,5311.32
OI000032,ORD000016,PROD0011,2,1364.75,0.0,2729.5
OI000033,ORD000016,PROD0032,1,1603.35,0.15,1362.85
OI000034,ORD000017,PROD0031,3,862.99,0.05,2459.52
OI000035,ORD000017,PROD0049,1,482.17,0.0,482.17
OI000036,ORD000017,PROD0034,2,623.0,0.05,1183.7
OI000037,ORD000017,PROD0006,2,657.82,0.0,1315.64
OI000038,ORD000017,PROD0040,1,5311.32,0.2,4249.06
OI000039,ORD000018,PROD0049,2,482.17,0.0,964.34
OI000040,ORD000019,PROD0013,1,2374.52,0.1,2137.07
OI000041,ORD000019,PROD0049,1,482.17,0.2,385.74
OI000042,ORD000019,PROD0028,1,9171.98,0.05,8713.38
OI000043,ORD000020,PROD0045,2,1335.85,0.1,2404.53
OI000044,ORD000021,PROD0040,1,5311.32,0.15,4514.62
OI000045,ORD000022,PROD0039,1,681.07,0.1,612.96
OI000046,ORD000023,PROD0024,2,3493.68,0.1,6288.62
OI000047,ORD000023,PROD0028,1,9171.98,0.0,9171.98
OI000048,ORD000024,PROD0044,1,311.15,0.0,311.15
OI000049,ORD000025,PROD0049,1,482.17,0.05,458.06
OI000050,ORD000026,PROD0007,1,2398.35,0.0,2398.35
OI000051,ORD000027,PROD0034,2,623.0,0.05,1183.7
OI000052,ORD000028,PROD0019,1,957.5,0.0,957.5
OI000053,ORD000029,PROD0044,1,311.15,0.0,311.15
OI000054,ORD000029,PROD0030,1,1158.24,0.0,1158.24
OI000055,ORD000030,PROD0013,1,2374.52,0.0,2374.52
OI000056,ORD000030,PROD0033,1,2386.05,0.15,2028.14
OI000057,ORD000031,PROD0049,1,482.17,0.05,458.06
OI000058,ORD000031,PROD0050,1,750.27,0.2,600.22
