return_id,order_id,order_item_id,product_id,customer_id,return_date,return_reason,refund_amount
RET00001,ORD000014,OI000028,PROD0031,CUST00239,2025-12-15,Not as Described,862.99
RET00002,ORD000037,OI000073,PROD0049,CUST00496,2025-05-19,Product Damaged,1446.51
RET00003,ORD000038,OI000076,PROD0024,CUST00371,2024-12-29,Changed Mind,3493.68
RET00004,ORD000040,OI000082,PROD0049,CUST00094,2025-06-06,Size/Fit Issue,482.17
RET00005,ORD000054,OI000112,PROD0050,CUST00015,2024-08-28,Better Price Found Elsewhere,600.22
RET00006,ORD000063,OI000130,PROD0034,CUST00313,2025-04-08,Size/Fit Issue,591.85
RET00007,ORD000077,OI000160,PROD0049,CUST00507,2025-11-04,Changed Mind,458.06
RET00008,ORD000082,OI000168,PROD0007,CUST00036,2025-09-06,Changed Mind,2398.35
RET00009,ORD000094,OI000196,PROD0049,CUST00469,2025-07-07,Quality Issue,964.34
RET00010,ORD000095,OI000197,PROD0013,CUST00592,2024-08-29,Not as Described,2374.52
RET00011,ORD000107,OI000216,PROD0050,CUST00215,2024-02-13,Product Damaged,1275.46
RET00012,ORD000115,OI000235,PROD0049,CUST00323,2025-10-31,Changed Mind,482.17
RET00013,ORD000119,OI000245,PROD0007,CUST00367,2025-12-10,Quality Issue,2278.43
RET00014,ORD000121,OI000248,PROD0034,CUST00133,2025-01-02,Not as Described,591.85
RET00015,ORD000130,OI000263,PROD0039,CUST00240,2025-10-26,Product Damaged,647.02
RET00016,ORD000161,OI000329,PROD0049,CUST00396,2024-12-04,Product Damaged,482.17
RET00017,ORD000174,OI000347,PROD0049,CUST00455,2025-08-15,Not as Described,964.34
RET00018,ORD000178,OI000356,PROD0025,CUST00014,2025-11-10,Changed Mind,1494.98
RET00019,ORD000196,OI000406,PROD0034,CUST00242,2025-03-25,Size/Fit Issue,623.0
RET00020,ORD000228,OI000474,PROD0013,CUST00094,2024-04-27,Changed Mind,2137.07
RET00021,ORD000243,OI000499,PROD0044,CUST00405,2024-12-02,Product Damaged,295.59
RET00022,ORD000247,OI000511,PROD0009,CUST00157,2025-07-01,Not as Described,7194.38
RET00023,ORD000248,OI000512,PROD0009,CUST00435,2025-07-21,Product Damaged,7194.38
RET00024,ORD000257,OI000531,PROD0023,CUST00540,2025-10-31,Quality Issue,3428.46
RET00025,ORD000275,OI000568,PROD0016,CUST00465,2025-03-19,Changed Mind,2151.12
RET00026,ORD000284,OI000595,PROD0049,CUST00540,2025-11-11,Product Damaged,482.17
RET00027,ORD000288,OI000605,PROD0028,CUST00585,2024-11-02,Better Price Found Elsewhere,9171.98
RET00028,ORD000291,OI000613,PROD0032,CUST00342,2025-04-14,Quality Issue,1603.35
RET00029,ORD000300,OI000632,PROD0011,CUST00335,2025-10-27,Wrong Item Delivered,1364.75
RET00030,ORD000316,OI000665,PROD0047,CUST00404,2025-05-01,Product Damaged,785.5
RET00031,ORD000318,OI000670,PROD0013,CUST00222,2025-11-21,Changed Mind,1899.62
RET00032,ORD000320,OI000673,PROD0039,CUST00309,2024-09-15,Better Price Found Elsewhere,647.02
RET00033,ORD000323,OI000680,PROD0030,CUST00499,2024-08-13,Quality Issue,1042.42
RET00034,ORD000334,OI000703,PROD0007,CUST00410,2025-03-18,Wrong Item Delivered,2158.52
RET00035,ORD000342,OI000723,PROD0015,CUST00380,2024-06-28,Size/Fit Issue,1188.01
RET00036,ORD000346,OI000727,PROD0013,CUST00586,2025-10-22,Changed Mind,4749.04
RET00037,ORD000347,OI000728,PROD0004,CUST00279,2025-12-10,Size/Fit Issue,1971.0
RET00038,ORD000367,OI000765,PROD0030,CUST00559,2025-04-01,Wrong Item Delivered,1158.24
RET00039,ORD000369,OI000767,PROD0041,CUST00116,2025-02-27,Product Damaged,1389.89
RET00040,ORD000375,OI000783,PROD0002,CUST00001,2024-08-12,Wrong Item Delivered,11538.67
RET00041,ORD000380,OI000794,PROD0032,CUST00421,2025-04-03,Size/Fit Issue,1603.35
RET00042,ORD000385,OI000802,PROD0044,CUST00484,2025-11-21,Changed Mind,295.59
RET00043,ORD000403,OI000839,PROD0050,CUST00365,2025-09-09,Wrong Item Delivered,750.27
RET00044,ORD000419,OI000875,PROD0020,CUST00304,2025-06-14,Wrong Item Delivered,3931.3
